,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/04/2018,Sunday,£325.75,£44.79,£87.63,£458.17,23
,,02/04/2018,Monday,£512.10,£103.26,£43.42,£658.78,31
,,03/04/2018,Tuesday,£153.53,£92.59,£50.58,£296.70,14
,,04/04/2018,Wednesday,£233.54,£63.05,£47.11,£343.70,18
,,05/04/2018,Thursday,£181.96,£73.76,£97.76,£353.48,16
,,06/04/2018,Friday,£245.91,£90.80,£130.79,£467.50,21
,,07/04/2018,Saturday,£382.50,£154.07,£134.36,£670.93,28
,,08/04/2018,Sunday,£230.34,£19.93,£81.20,£331.47,15
,,09/04/2018,Monday,£145.18,£86.69,£91.60,£323.47,15
,,10/04/2018,Tuesday,£181.70,£125.54,£95.31,£402.55,18
,,11/04/2018,Wednesday,£232.82,£13.97,£75.98,£322.77,14
,,12/04/2018,Thursday,£400.79,£91.57,£113.66,£606.02,30
,,13/04/2018,Friday,£463.84,£77.76,£70.43,£612.03,31
,,14/04/2018,Saturday,£331.02,£73.83,£175.56,£580.41,25
,,15/04/2018,Sunday,£245.92,£171.56,£96.61,£514.09,17
,,16/04/2018,Monday,£158.53,£115.09,£124.53,£398.15,18
,,17/04/2018,Tuesday,£265.00,£37.52,£124.78,£427.30,20
,,18/04/2018,Wednesday,£205.88,£86.14,£106.62,£398.64,17
,,19/04/2018,Thursday,£283.19,£146.12,£88.76,£518.07,22
,,20/04/2018,Friday,£332.59,£56.56,£102.09,£491.24,20
,,21/04/2018,Saturday,£330.01,£86.58,£139.32,£555.91,26
,,22/04/2018,Sunday,£339.54,£70.62,£69.38,£479.54,23
,,23/04/2018,Monday,£297.74,£62.56,£111.46,£471.76,21
,,24/04/2018,Tuesday,£257.82,£42.15,£138.91,£438.88,17
,,25/04/2018,Wednesday,£277.39,£56.20,£74.08,£407.67,20
,,26/04/2018,Thursday,£158.78,£107.37,£68.00,£334.15,15
,,27/04/2018,Friday,£232.16,£107.61,£65.02,£404.79,21
,,28/04/2018,Saturday,£335.94,£71.45,£149.55,£556.94,22
,,29/04/2018,Sunday,£435.98,£137.25,£55.98,£629.21,32
,,30/04/2018,Monday,£299.51,£29.92,£36.55,£365.98,21
,Total,,,"£8,476.96","£2,496.31","£2,847.03","£13,820.30",631
