,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/08/2017,Tuesday,£262.07,£50.53,£77.07,£389.67,19
,,02/08/2017,Wednesday,£212.97,£106.94,£106.47,£426.38,19
,,03/08/2017,Thursday,£338.28,£58.76,£109.73,£506.77,23
,,04/08/2017,Friday,£354.72,£113.52,£159.04,£627.28,27
,,05/08/2017,Saturday,£245.28,£57.17,£111.02,£413.47,18
,,06/08/2017,Sunday,£385.27,£119.19,£170.52,£674.98,30
,,07/08/2017,Monday,£125.33,£48.34,£51.35,£225.02,10
,,08/08/2017,Tuesday,£356.97,£117.43,£79.69,£554.09,25
,,09/08/2017,Wednesday,£254.05,£92.05,£137.82,£483.92,23
,,10/08/2017,Thursday,£277.46,£80.75,£67.87,£426.08,20
,,11/08/2017,Friday,£306.03,£186.10,£140.14,£632.27,28
,,12/08/2017,Saturday,£303.54,£88.41,£76.80,£468.75,23
,,13/08/2017,Sunday,£399.23,£96.46,£144.99,£640.68,27
,,14/08/2017,Monday,£162.85,£54.92,£114.79,£332.56,15
,,15/08/2017,Tuesday,£186.15,£55.61,£104.25,£346.01,17
,,16/08/2017,Wednesday,£260.07,£59.20,£78.73,£398.00,19
,,17/08/2017,Thursday,£215.98,£105.83,£148.98,£470.79,19
,,18/08/2017,Friday,£408.68,£154.26,£92.93,£655.87,32
,,19/08/2017,Saturday,£243.90,£124.62,£199.22,£567.74,20
,,20/08/2017,Sunday,£190.09,£83.22,£118.54,£391.85,17
,,21/08/2017,Monday,£221.27,£81.04,£70.00,£372.31,18
,,22/08/2017,Tuesday,£211.77,£64.62,£113.84,£390.23,15
,,23/08/2017,Wednesday,£252.31,£99.22,£96.47,£448.00,20
,,24/08/2017,Thursday,£310.50,£116.09,£109.94,£536.53,24
,,25/08/2017,Friday,£258.12,£161.95,£380.00,£800.07,23
,,26/08/2017,Saturday,£280.39,£132.64,£111.30,£524.33,24
,,27/08/2017,Sunday,£471.72,£108.55,£119.11,£699.38,24
,,28/08/2017,Monday,£231.11,£165.67,£95.76,£492.54,22
,,29/08/2017,Tuesday,£244.38,£85.30,£202.17,£531.85,20
,,30/08/2017,Wednesday,£266.98,£151.56,£38.97,£457.51,25
,,31/08/2017,Thursday,£134.34,£112.53,£118.02,£364.89,14
,Total,,,"£8,371.81","£3,132.48","£3,745.53","£15,249.82",660
