,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/12/2017,   Friday,£220.81,£116.68,£89.71,£427.20,19
,,02/12/2017,   Saturday,£364.75,£177.11,£76.04,£617.90,34
,,03/12/2017,   Sunday,£406.21,£58.72,£58.72,£523.65,28
,,04/12/2017,   Monday,£257.45,£64.94,£50.56,£372.95,18
,,05/12/2017,   Tuesday,£79.70,£145.04,£84.34,£309.08,13
,,06/12/2017,   Wednesday,£203.48,£93.65,£49.85,£346.98,16
,,07/12/2017,   Thursday,£219.15,£63.63,£65.03,£347.81,15
,,08/12/2017,   Friday,£229.85,£110.24,£114.14,£454.23,22
,,09/12/2017,   Saturday,£366.92,£134.57,£87.26,£588.75,33
,,10/12/2017,   Sunday,£375.03,£140.37,£74.23,£589.63,29
,,11/12/2017,   Monday,£280.00,£87.17,£26.63,£393.80,23
,,12/12/2017,   Tuesday,£118.87,£66.98,£56.31,£242.16,11
,,13/12/2017,   Wednesday,£227.40,£63.86,£69.84,£361.10,18
,,14/12/2017,   Thursday,£188.66,£55.60,£15.48,£259.74,15
,,15/12/2017,   Friday,£355.63,£124.94,£101.04,£581.61,29
,,16/12/2017,   Saturday,£331.49,£45.43,£46.56,£423.48,21
,,17/12/2017,   Sunday,£305.30,£80.57,£86.88,£472.75,21
,,18/12/2017,   Monday,£201.19,£39.48,£41.35,£282.02,12
,,19/12/2017,   Tuesday,£275.34,£103.44,£68.91,£447.69,21
,,20/12/2017,   Wednesday,£244.18,£90.70,£77.59,£412.47,18
,,21/12/2017,   Thursday,£246.54,£98.56,£51.33,£396.43,19
,,22/12/2017,   Friday,£291.25,£133.40,£112.64,£537.29,25
,,23/12/2017,   Saturday,£403.34,£162.63,£62.86,£628.83,32
,,24/12/2017,   Sunday,£262.97,£155.03,£20.70,£438.70,24
,,25/12/2017,   Monday,-,-,-,-,-
,,26/12/2017,   Tuesday,£309.75,£56.27,£84.02,£450.04,20
,,27/12/2017,   Wednesday,£233.38,£35.79,£25.92,£295.09,15
,,28/12/2017,   Thursday,£240.57,£91.93,£34.31,£366.81,20
,,29/12/2017,   Friday,£262.12,£87.13,£60.46,£409.71,21
,,30/12/2017,   Saturday,£259.65,£12.53,£119.80,£391.98,15
,,31/12/2017,   Sunday,£137.70,£177.49,£88.13,£403.32,16
,Total,,,"£7,898.68","£2,873.88","£2,000.64","£12,773.20",623
