,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/01/2018,Monday,£349.95,£72.07,£14.03,£436.05,27
,,02/01/2018,Tuesday,£173.16,£147.66,£89.55,£410.37,21
,,03/01/2018,Wednesday,£100.06,£76.76,£96.92,£273.74,11
,,04/01/2018,Thursday,£205.73,£46.96,£64.11,£316.80,16
,,05/01/2018,Friday,£444.85,£48.89,£72.69,£566.43,29
,,06/01/2018,Saturday,£387.13,£117.57,£43.42,£548.12,32
,,07/01/2018,Sunday,£170.42,£117.59,£43.17,£331.18,16
,,08/01/2018,Monday,£163.64,£69.26,£21.12,£254.02,12
,,09/01/2018,Tuesday,£94.62,£54.71,£45.62,£194.95,11
,,10/01/2018,Wednesday,£152.21,£85.23,£26.71,£264.15,17
,,11/01/2018,Thursday,£260.14,£66.80,£120.41,£447.35,20
,,12/01/2018,Friday,£313.93,£116.81,£93.71,£524.45,25
,,13/01/2018,Saturday,£347.76,£97.77,£101.87,£547.40,27
,,14/01/2018,Sunday,£192.97,£169.19,£50.32,£412.48,20
,,15/01/2018,Monday,£222.58,£128.19,£37.43,£388.20,21
,,16/01/2018,Tuesday,£98.18,£58.34,£53.90,£210.42,10
,,17/01/2018,Wednesday,£135.02,£61.49,£45.47,£241.98,11
,,18/01/2018,Thursday,£373.36,£112.41,£40.96,£526.73,29
,,19/01/2018,Friday,£210.10,£61.46,£90.25,£361.81,16
,,20/01/2018,Saturday,£305.19,£133.78,£34.33,£473.30,25
,,21/01/2018,Sunday,£326.15,£123.70,£49.84,£499.69,25
,,22/01/2018,Monday,£180.53,£73.46,£65.12,£319.11,14
,,23/01/2018,Tuesday,£134.76,£70.47,£0.00,£205.23,12
,,24/01/2018,Wednesday,£194.71,£41.94,£54.20,£290.85,15
,,25/01/2018,Thursday,£276.27,£102.11,£44.45,£422.83,20
,,26/01/2018,Friday,£211.34,£158.14,£91.78,£461.26,21
,,27/01/2018,Saturday,£346.80,£89.88,£119.95,£556.63,26
,,28/01/2018,Sunday,£245.23,£55.75,£108.78,£409.76,18
,,29/01/2018,Monday,£235.45,£110.19,£59.30,£404.94,19
,,30/01/2018,Tuesday,£190.77,£46.29,£51.61,£288.67,13
,,31/01/2018,Wednesday,£169.93,£89.57,£81.69,£341.19,16
,Total,,,"£7,212.94","£2,804.44","£1,912.71","£11,930.09",595
