,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/07/2018,Sunday,£344.06,£179.36,£64.60,£588.02,24
,,02/07/2018,Monday,£299.35,£57.86,£88.38,£445.59,21
,,03/07/2018,Tuesday,£194.24,£83.71,£83.71,£361.66,16
,,04/07/2018,Wednesday,£223.47,£101.83,£46.37,£371.67,17
,,05/07/2018,Thursday,£272.59,£158.85,£39.74,£471.18,24
,,06/07/2018,Friday,£426.51,£115.83,£101.25,£643.59,31
,,07/07/2018,Saturday,£277.43,£54.77,£56.22,£388.42,15
,,08/07/2018,Sunday,£388.63,£144.66,£69.97,£603.26,31
,,09/07/2018,Monday,£277.01,£65.28,£27.20,£369.49,20
,,10/07/2018,Tuesday,£178.67,£27.40,£70.60,£276.67,13
,,11/07/2018,Wednesday,£263.30,£124.52,£67.66,£455.48,22
,,12/07/2018,Thursday,£296.08,£110.61,£11.08,£417.77,22
,,13/07/2018,Friday,£224.06,£96.86,£64.84,£385.76,18
,,14/07/2018,Saturday,£234.86,£98.15,£92.97,£425.98,22
,,15/07/2018,Sunday,£231.07,£42.91,£110.36,£384.34,14
,,16/07/2018,Monday,£222.72,£134.48,£56.00,£413.20,17
,,17/07/2018,Tuesday,£290.42,£104.24,£28.81,£423.47,21
,,18/07/2018,Wednesday,£271.42,£104.75,£38.18,£414.35,18
,,19/07/2018,Thursday,£209.34,£62.57,£64.17,£336.08,15
,,20/07/2018,Friday,£268.20,£58.66,£48.96,£375.82,17
,,21/07/2018,Saturday,£274.30,£52.70,£39.54,£366.54,20
,,22/07/2018,Sunday,£325.48,£121.33,£54.73,£501.54,26
,,23/07/2018,Monday,£293.46,£49.61,£61.85,£404.92,19
,,24/07/2018,Tuesday,£314.38,£140.92,£39.55,£494.85,20
,,25/07/2018,Wednesday,£257.72,£93.39,£79.02,£430.13,21
,,26/07/2018,Thursday,£263.33,£105.48,£20.44,£389.25,19
,,27/07/2018,Friday,£275.85,£139.80,£144.58,£560.23,19
,,28/07/2018,Saturday,£249.41,£72.49,£68.33,£390.23,19
,,29/07/2018,Sunday,£396.83,£91.13,£100.05,£588.01,26
,,30/07/2018,Monday,£287.35,£80.36,£183.18,£550.89,20
,,31/07/2018,Tuesday,£245.50,£137.98,£77.73,£461.21,22
,Total,,,"£8,577.04","£3,012.49","£2,100.07","£13,689.60",629
