,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/06/2018,Friday,£404.33,£32.02,£129.11,£565.46,24
,,02/06/2018,Saturday,£360.04,£81.53,£117.27,£558.84,26
,,03/06/2018,Sunday,£349.87,£84.30,£106.75,£540.92,26
,,04/06/2018,Monday,£309.76,£60.56,£31.30,£401.62,21
,,05/06/2018,Tuesday,£228.50,£84.95,£82.05,£395.50,17
,,06/06/2018,Wednesday,£186.63,£54.44,£50.74,£291.81,8
,,07/06/2018,Thursday,£225.42,£127.96,£59.72,£413.10,19
,,08/06/2018,Friday,£499.42,£189.12,£124.17,£812.71,37
,,09/06/2018,Saturday,£424.45,£98.75,£67.77,£590.97,27
,,10/06/2018,Sunday,£420.25,£137.76,£55.88,£613.89,-
,,11/06/2018,Monday,£142.49,£78.19,£77.66,£298.34,14
,,12/06/2018,Tuesday,£294.96,£99.65,£36.14,£430.75,22
,,13/06/2018,Wednesday,£228.84,£95.61,£79.75,£404.20,17
,,14/06/2018,Thursday,£248.46,£98.29,£26.14,£372.89,19
,,15/06/2018,Friday,£358.12,£90.99,£67.20,£516.31,25
,,16/06/2018,Saturday,£399.32,£184.86,£75.74,£659.92,29
,,17/06/2018,Sunday,£396.02,£131.79,£44.05,£571.86,27
,,18/06/2018,Monday,£312.69,£74.57,£22.57,£409.83,20
,,19/06/2018,Tuesday,£309.56,£132.57,£63.63,£505.76,24
,,20/06/2018,Wednesday,£350.68,£48.39,£59.39,£458.46,20
,,21/06/2018,Thursday,£86.16,£100.18,£13.00,£199.34,10
,,22/06/2018,Friday,£329.41,£94.42,£80.79,£504.62,24
,,23/06/2018,Saturday,£313.53,£120.51,£84.90,£518.94,21
,,24/06/2018,Sunday,£262.25,£53.74,£62.00,£377.99,18
,,25/06/2018,Monday,£292.04,£127.57,£40.29,£459.90,22
,,26/06/2018,Tuesday,£272.55,£111.58,£69.86,£453.99,22
,,27/06/2018,Wednesday,£303.79,£105.77,£32.56,£442.12,21
,,28/06/2018,Thursday,£303.35,£98.79,£137.86,£540.00,20
,,29/06/2018,Friday,£325.91,£100.30,£32.97,£459.18,23
,,30/06/2018,Saturday,£394.73,£130.37,£100.64,£625.74,31
,Total,,,"£9,333.53","£3,029.53","£2,031.90","£14,394.96",634
