,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/03/2018,Thursday,£253.24,£129.56,£114.68,£497.48,22
,,02/03/2018,Friday,£508.74,£143.26,£96.61,£748.61,37
,,03/03/2018,Saturday,£337.48,£177.86,£115.94,£631.28,30
,,04/03/2018,Sunday,£485.66,£364.39,£163.23,"£1,013.28",36
,,05/03/2018,Monday,£205.87,£56.91,£108.57,£371.35,17
,,06/03/2018,Tuesday,£244.25,£172.16,£67.27,£483.68,26
,,07/03/2018,Wednesday,£289.12,£76.10,£49.94,£415.16,22
,,08/03/2018,Thursday,£238.71,£62.21,£103.70,£404.62,15
,,09/03/2018,Friday,£406.23,£111.91,£124.99,£643.13,33
,,10/03/2018,Saturday,£619.48,£68.04,£200.12,£887.64,41
,,11/03/2018,Sunday,£328.67,£113.37,£158.26,£600.30,22
,,12/03/2018,Monday,£267.62,£131.05,£56.49,£455.16,23
,,13/03/2018,Tuesday,£212.15,£91.99,£120.16,£424.30,18
,,14/03/2018,Wednesday,£292.48,£51.14,£69.74,£413.36,20
,,15/03/2018,Thursday,£257.40,£49.41,£74.69,£381.50,19
,,16/03/2018,Friday,£296.17,£104.18,£121.03,£521.38,25
,,17/03/2018,Saturday,£476.28,£165.94,£49.25,£691.47,31
,,18/03/2018,Sunday,£313.54,£90.28,£95.67,£499.49,25
,,19/03/2018,Monday,£295.79,£90.07,£50.44,£436.30,23
,,20/03/2018,Tuesday,£182.05,£121.44,£83.16,£386.65,19
,,21/03/2018,Wednesday,£180.53,£21.21,£31.26,£233.00,13
,,22/03/2018,Thursday,£256.90,£172.95,£108.42,£538.27,24
,,23/03/2018,Friday,£281.30,£125.64,£159.35,£566.29,25
,,24/03/2018,Saturday,£318.78,£80.02,£124.14,£522.94,23
,,25/03/2018,Sunday,£261.26,£123.92,£92.80,£477.98,23
,,26/03/2018,Monday,£219.79,£43.10,£94.43,£357.32,16
,,27/03/2018,Tuesday,£171.89,£73.66,£51.05,£296.60,16
,,28/03/2018,Wednesday,£182.51,£83.72,£81.86,£348.09,18
,,29/03/2018,Thursday,£441.88,£169.27,£66.92,£678.07,32
,,30/03/2018,Friday,£425.83,£144.98,£127.44,£698.25,31
,,31/03/2018,Saturday,£350.60,£83.39,£94.74,£528.73,25
,Total,,,"£9,602.20","£3,493.13","£3,056.35","£16,151.68",750
