,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/05/2018,Tuesday,£318.19,£123.80,£96.70,£538.69,25
,,02/05/2018,Wednesday,£376.90,£178.56,£0.00,£555.46,32
,,03/05/2018,Thursday,£184.62,£88.63,£27.61,£300.86,18
,,04/05/2018,Friday,£258.89,£84.08,£117.72,£460.69,18
,,05/05/2018,Saturday,£312.59,£24.40,£54.93,£391.92,21
,,06/05/2018,Sunday,£260.11,£92.56,£77.17,£429.84,20
,,07/05/2018,Monday,£251.09,£77.97,£130.80,£459.86,18
,,08/05/2018,Tuesday,£159.45,£109.50,£58.71,£327.66,16
,,09/05/2018,Wednesday,£156.90,£64.54,£73.22,£294.66,13
,,10/05/2018,Thursday,£274.84,£52.51,£95.70,£423.05,19
,,11/05/2018,Friday,£280.22,£93.35,£88.42,£461.99,23
,,12/05/2018,Saturday,£292.24,£118.73,£42.85,£453.82,21
,,13/05/2018,Sunday,£190.98,£86.65,£84.91,£362.54,15
,,14/05/2018,Monday,£157.44,£14.98,£93.55,£265.97,10
,,15/05/2018,Tuesday,£147.68,£96.59,£97.40,£341.67,16
,,16/05/2018,Wednesday,£267.94,£72.17,£82.42,£422.53,22
,,17/05/2018,Thursday,£272.31,£46.89,£95.90,£415.10,18
,,18/05/2018,Friday,£405.81,£35.22,£104.46,£545.49,26
,,19/05/2018,Saturday,-,-,-,-,-
,,20/05/2018,Sunday,-,-,-,-,-
,,21/05/2018,Monday,-,-,-,-,-
,,22/05/2018,Tuesday,£215.10,£39.61,£46.90,£301.61,14
,,23/05/2018,Wednesday,£259.24,£26.29,£90.89,£376.42,15
,,24/05/2018,Thursday,£149.83,£112.68,£30.25,£292.76,16
,,25/05/2018,Friday,£301.64,£96.72,£77.62,£475.98,24
,,26/05/2018,Saturday,£368.70,£43.06,£95.79,£507.55,22
,,27/05/2018,Sunday,£176.12,£43.06,£93.24,£312.42,13
,,28/05/2018,Monday,£296.12,£57.53,£84.49,£438.14,21
,,29/05/2018,Tuesday,£269.93,£51.66,£69.77,£391.36,18
,,30/05/2018,Wednesday,£319.95,£66.86,£85.25,£472.06,23
,,31/05/2018,Thursday,£419.01,£43.75,£59.73,£522.49,25
,Total,,,"£7,343.84","£2,042.35","£2,156.40","£11,542.59",542
