,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/11/2017,Wednesday,£160.84,£116.40,£118.16,£395.40,18
,,02/11/2017,Thursday,£162.86,£94.55,£102.65,£360.06,14
,,03/11/2017,Friday,£158.62,£84.06,£77.23,£319.91,14
,,04/11/2017,Saturday,£337.79,£146.21,£70.69,£554.69,28
,,05/11/2017,Sunday,£318.39,£121.91,£76.26,£516.56,28
,,06/11/2017,Monday,£80.81,£78.64,£31.16,£190.61,9
,,07/11/2017,Tuesday,£162.70,£79.98,£64.17,£306.85,15
,,08/11/2017,Wednesday,£212.21,£104.16,£81.65,£398.02,19
,,09/11/2017,Thursday,£143.50,£101.41,£125.00,£369.91,15
,,10/11/2017,Friday,£136.41,£69.74,£85.55,£291.70,12
,,11/11/2017,Saturday,£257.99,£135.53,£87.51,£481.03,22
,,12/11/2017,Sunday,£279.32,£88.65,£34.67,£402.64,23
,,13/11/2017,Monday,£120.24,£27.33,£98.98,£246.55,10
,,14/11/2017,Tuesday,£159.71,£55.42,£85.42,£300.55,13
,,15/11/2017,Wednesday,£41.27,£97.36,£51.06,£189.69,10
,,16/11/2017,Thursday,£196.87,£82.17,£71.34,£350.38,15
,,17/11/2017,Friday,£202.10,£137.08,£78.46,£417.64,20
,,18/11/2017,Saturday,£407.23,£300.83,£11.24,£719.30,43
,,19/11/2017,Sunday,£299.95,£44.68,£62.76,£407.39,21
,,20/11/2017,Monday,£165.59,£70.62,£46.95,£283.16,15
,,21/11/2017,Tuesday,£117.69,£92.06,£56.20,£265.95,11
,,22/11/2017,Wednesday,£239.16,£75.83,£53.95,£368.94,20
,,23/11/2017,Thursday,£155.45,£63.25,£49.22,£267.92,14
,,24/11/2017,Friday,£247.88,£139.29,£53.79,£440.96,24
,,25/11/2017,Saturday,£257.76,£152.38,£117.67,£527.81,23
,,26/11/2017,Sunday,£386.72,£172.10,£18.00,£576.82,33
,,27/11/2017,Monday,£218.01,£36.92,£33.34,£288.27,14
,,28/11/2017,Tuesday,£300.20,£57.75,£66.35,£424.30,22
,,29/11/2017,Wednesday,£117.61,£89.00,£115.75,£322.36,12
,,30/11/2017,Thursday,£169.90,£61.51,£94.24,£325.65,15
,Total,,,"£6,214.78","£2,976.82","£2,119.42","£11,311.02",552
