,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/10/2017,Sunday,£299.93,£94.21,£101.21,£495.35,24
,,02/10/2017,Monday,£131.78,£38.48,£88.61,£258.87,11
,,03/10/2017,Tuesday,£163.22,£76.40,£76.40,£316.02,15
,,04/10/2017,Wednesday,£155.45,£96.32,£98.18,£349.95,17
,,05/10/2017,Thursday,£265.60,£140.83,£110.10,£516.53,22
,,06/10/2017,Friday,£190.40,£22.80,£119.93,£333.13,12
,,07/10/2017,Saturday,£218.23,£168.92,£92.46,£479.61,20
,,08/10/2017,Sunday,£385.15,£84.46,£130.56,£600.17,27
,,09/10/2017,Monday,£161.51,£54.42,£30.85,£246.78,12
,,10/10/2017,Tuesday,£125.00,£93.36,£102.45,£320.81,14
,,11/10/2017,Wednesday,£174.82,£93.73,£102.58,£371.13,14
,,12/10/2017,Thursday,£164.34,£58.05,£106.04,£328.43,16
,,13/10/2017,Friday,£308.12,£193.55,£83.73,£585.40,32
,,14/10/2017,Saturday,£362.49,£92.10,£77.70,£532.29,25
,,15/10/2017,Sunday,£279.82,£69.99,£102.43,£452.24,20
,,16/10/2017,Monday,£215.58,£28.00,£46.85,£290.43,14
,,17/10/2017,Tuesday,£148.34,£60.14,£72.05,£280.53,11
,,18/10/2017,Wednesday,£133.26,£55.25,£55.33,£243.84,14
,,19/10/2017,Thursday,£176.72,£52.12,£86.36,£315.20,15
,,20/10/2017,Friday,£220.60,£26.80,£75.24,£322.64,19
,,21/10/2017,Saturday,£175.53,£129.35,£74.35,£379.23,17
,,22/10/2017,Sunday,£222.71,£83.60,£26.02,£332.33,19
,,23/10/2017,Monday,£230.39,£71.94,£44.25,£346.58,17
,,24/10/2017,Tuesday,£94.03,£83.79,£68.53,£246.35,8
,,25/10/2017,Wednesday,£117.97,£90.79,£106.25,£315.01,13
,,26/10/2017,Thursday,£112.69,£75.78,£39.40,£227.87,17
,,27/10/2017,Friday,£355.86,£102.85,£89.66,£548.37,28
,,28/10/2017,Saturday,£411.66,£142.90,£117.98,£672.54,32
,,29/10/2017,Sunday,£299.95,£71.18,£143.68,£514.81,22
,,30/10/2017,Monday,£124.42,£26.17,£52.36,£202.95,10
,,31/10/2017,Tuesday,£127.04,£110.23,£47.71,£284.98,14
,Total,,,"£6,552.61","£2,588.51","£2,569.25","£11,710.37",551
