,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/09/2017,Friday,£363.00,£110.54,£137.73,£611.27,26
,,02/09/2017,Saturday,£273.13,£111.08,£184.82,£569.03,19
,,03/09/2017,Sunday,£205.43,£159.14,£122.60,£487.17,23
,,04/09/2017,Monday,£233.45,£101.10,£97.30,£431.85,19
,,05/09/2017,Tuesday,£286.28,£54.37,£99.17,£439.82,19
,,06/09/2017,Wednesday,£111.90,£73.62,£102.36,£287.88,11
,,07/09/2017,Thursday,£137.11,£73.49,£271.25,£481.85,13
,,08/09/2017,Friday,£267.69,£181.43,£93.66,£542.78,27*
,,09/09/2017,Saturday,£349.56,£49.34,£102.18,£501.08,24
,,10/09/2017,Sunday,£370.64,£160.09,£101.34,£632.07,30
,,11/09/2017,Monday,£144.68,£82.27,£117.07,£344.02,14
,,12/09/2017,Tuesday,£183.63,£125.17,£148.98,£457.78,19
,,13/09/2017,Wednesday,£179.47,£42.77,£90.61,£312.85,14
,,14/09/2017,Thursday,£163.10,£59.49,£88.33,£310.92,15
,,15/09/2017,Friday,£240.84,£200.24,£115.82,£556.90,25
,,16/09/2017,Saturday,£318.68,£63.89,£77.48,£460.05,23
,,17/09/2017,Sunday,£369.70,£69.30,£152.12,£591.12,24
,,18/09/2017,Monday,£149.90,£72.70,£37.17,£259.77,14
,,19/09/2017,Tuesday,£222.11,£91.45,£102.21,£415.77,18
,,20/09/2017,Wednesday,£142.07,£87.06,£36.66,£265.79,15
,,21/09/2017,Thursday,£184.01,£135.36,£68.04,£387.41,20
,,22/09/2017,Friday,£257.54,£98.84,£169.32,£525.70,21
,,23/09/2017,Saturday,£277.00,£166.74,£116.31,£560.05,27
,,24/09/2017,Sunday,£228.28,£128.84,£87.85,£444.97,20
,,25/09/2017,Monday,£172.95,£67.60,£57.34,£297.89,16
,,26/09/2017,Tuesday,£167.27,£106.05,£72.68,£346.00,14
,,27/09/2017,Wednesday,£198.18,£159.94,£82.17,£440.29,22
,,28/09/2017,Thursday,£271.50,£110.28,£97.27,£479.05,24
,,29/09/2017,Friday,£250.74,£75.50,£122.23,£448.47,20
,,30/09/2017,Saturday,£240.20,£74.45,£74.10,£388.75,21
,Total,,,"£6,960.04","£3,092.14","£3,226.17","£13,278.35",570
